Gender,acc,acq,acs,acu,ape,apf,api
Female,668.72564,674.02244,625.88408,615.60212,667.01198,677.13818,611.55164
Male,603.06122,575.33106,559.4407,605.08648,592.15608,587.63826,594.4929
Female,396.01962,408.79422,398.04486,433.25284,406.76898,363.30426,380.75244
Female,525.63482,528.90636,446.96216,531.2432,509.43292,473.44602,493.6984
Male,699.18214,668.49198,626.8967,628.76618,652.60166,647.30486,669.1151
Female,439.17278,399.44696,373.74202,415.18148,446.33902,378.72722,407.23632
Male,452.72628,535.29364,468.61662,466.59136,486.84376,473.29024,490.42686
Male,492.14054,534.04734,470.33028,520.18226,519.8707,473.60182,474.22494
Male,634.21872,619.5747,594.8045,632.0377,614.43372,629.54512,628.2988
Male,493.46474,509.35502,494.39944,468.5387,494.8668,524.15486,491.75104
Female,566.3733,573.69528,557.64914,524.31064,543.47248,556.24706,568.3985
Female,575.64262,551.184,488.86898,528.90636,537.3189,514.26232,529.21792
Female,520.49382,515.04128,465.34508,485.2859,522.51906,503.6688,503.82456
Female,529.14006,526.95902,455.76416,527.5822,512.00344,492.84158,488.16794
Male,567.38586,526.41376,475.47126,513.4834,541.0578,508.49822,501.79936
Male,507.32982,494.55522,432.396,459.50304,502.34458,484.11748,491.75106
Male,435.1223,416.89518,395.39648,419.38778,451.16842,413.7794,405.05534
Female,478.35334,482.71536,429.9034,504.83718,445.94954,462.93036,493.15314
Male,514.80758,488.7911,466.98082,517.76758,500.31936,539.11044,519.79282
Male,479.59962,476.79544,405.44478,477.57438,464.17666,436.29068,451.71366
Female,492.76364,546.51034,516.44338,474.06916,546.82192,526.1022,483.10486
Male,672.85402,661.48154,596.51814,629.3893,642.78702,655.87318,656.34054
Male,455.60834,454.67364,394.8512,469.47342,448.59792,423.04878,470.0966
Male,672.38668,646.68174,580.6278,644.81228,630.01248,621.13256,640.29442
Male,592.1561,524.5443,549.3145,583.432,524.70012,531.86634,546.82194
Female,515.50864,495.56788,484.50694,525.9464,522.36328,484.97428,554.7671
Female,393.05966,358.31906,270.76648,450.23368,364.08322,340.87086,471.265
Male,448.98738,454.75152,438.7054,482.32592,491.67314,431.38338,444.78112
Female,568.08694,563.2575,497.67098,591.61084,558.73968,529.14004,601.26968
Male,337.59932,338.53406,287.27994,372.96308,347.25814,302.7029,331.36782
Female,497.3594,473.99128,384.41346,494.24368,458.72412,418.53092,423.6719
Male,626.11778,596.67396,542.30412,575.33104,594.96028,593.2466,628.61036
Male,622.84622,609.91588,563.64696,604.93066,597.60868,624.40412,662.10472
Male,712.73562,621.59994,611.62954,682.0455,665.53202,627.36408,616.6147
Female,626.81882,588.49508,560.9207,595.03818,613.2653,587.56036,626.19568
Male,309.40178,315.78904,300.52188,351.30862,349.59494,319.83954,336.8204
Male,576.81102,530.38636,485.51954,530.23054,521.66226,476.17232,523.37592
Male,579.06996,554.29974,478.7428,569.41112,545.73142,540.12306,591.22136
Male,457.78936,461.52828,446.4169,507.48562,461.06092,452.4926,505.14876
Female,465.26718,416.97302,413.38992,458.56832,443.9243,461.68406,478.97648
Male,441.04222,431.07182,417.82986,431.69496,462.07354,427.17716,461.45036
Female,465.96822,426.08664,425.46348,463.6314,436.21278,425.61928,435.1223
Female,486.6101,465.1114,412.92256,455.76414,443.7685,393.44912,501.25408
Female,479.59962,461.0609,432.2402,496.89204,501.25408,451.71366,505.14878
Female,426.55396,407.08054,385.58188,469.7071,455.53046,394.30596,420.78984
Male,503.12356,491.43946,440.18536,495.33416,489.57004,458.8799,500.31936
Male,339.0014,348.66024,321.55322,420.63404,372.33994,296.4714,348.19286
Male,439.32856,483.57222,412.84468,502.2667,480.92384,437.77068,484.50694
Female,578.36892,497.671,499.22886,515.43076,557.6492,538.4873,580.23836
Female,388.8534,307.84392,331.5236,391.346,393.21544,356.76118,371.4052
Female,556.63656,480.76802,416.11622,498.06044,516.75494,491.05,486.3764
Female,617.86106,593.86976,539.18836,562.24488,597.1413,537.63048,580.47204
Female,427.25504,408.40474,367.89998,431.92864,415.25938,381.29772,413.07836
Male,531.39898,568.4764,478.74278,586.39196,577.82366,569.2553,540.74622
Male,416.66146,438.16014,424.60664,538.64308,477.5744,496.58048,428.5013
Female,545.49776,518.39072,494.08788,534.9042,530.2306,509.51082,537.55258
Female,540.66834,540.82412,506.39508,535.37154,525.71274,488.16796,565.28276
Male,503.82458,469.86292,448.67582,436.2128,465.50086,437.61488,484.8185
Male,339.62456,330.12152,284.47576,381.84296,367.19894,327.47314,354.73592
Male,604.54122,571.67004,523.37592,535.99472,551.72922,559.20702,522.59698
Female,427.56662,430.0592,438.93906,443.30114,403.8869,450.46734,445.79374
Male,550.8724,538.25358,504.9151,516.44338,493.38682,552.89764,516.91074
Female,544.40722,560.60914,579.4594,528.67268,552.35238,581.17308,581.48466
Male,508.4203,536.4621,484.89642,514.49604,486.29848,532.87896,550.63876
Male,444.93692,434.18758,393.05968,472.97866,427.80026,427.02136,477.49648
Female,409.41732,439.32854,348.97182,457.55568,407.85948,396.79856,461.45038
Male,538.40938,524.38854,482.01434,476.87336,514.10656,523.45382,523.4538
Female,385.03662,413.8573,398.43434,445.0148,385.0366,399.83642,424.60662
Male,445.94952,485.83112,472.12184,452.02526,448.13054,492.3742,512.15922
Male,560.14178,602.04858,581.95202,606.56644,535.21578,595.81712,606.09908
Female,622.76834,635.54292,645.51332,588.4951,610.9285,647.38274,614.6674
Female,446.1832,501.0204,496.34676,499.6183,516.44338,486.22062,471.42078
Male,482.79328,515.97602,468.14924,517.68966,504.60352,494.6331,537.47466
Male,376.3904,405.3669,432.3181,435.43386,425.1519,387.60712,361.1232
Male,390.80074,420.0888,376.00092,419.93298,398.43434,430.68236,426.94346
